ds,usd
2018-09-22,66.2497
2018-09-23,66.2196
2018-09-24,66.18950000000001
2018-09-25,66.1594
2018-09-26,65.8244
2018-09-27,65.7585
2018-09-28,65.8355
2018-09-29,65.5906
2018-09-30,65.58523333333333
2018-10-01,65.57986666666666
2018-10-02,65.5745
2018-10-03,65.2221
2018-10-04,65.4244
2018-10-05,66.2115
2018-10-06,66.627
2018-10-07,66.74083333333333
2018-10-08,66.85466666666667
2018-10-09,66.9685
2018-10-10,66.4032
2018-10-11,66.1832
2018-10-12,66.7727
2018-10-13,65.9751
2018-10-14,65.90033333333334
2018-10-15,65.82556666666666
2018-10-16,65.7508
2018-10-17,65.5305
2018-10-18,65.4026
2018-10-19,65.7238
2018-10-20,65.814
2018-10-21,65.64483333333332
2018-10-22,65.47566666666667
2018-10-23,65.3065
2018-10-24,65.3101
2018-10-25,65.6299
2018-10-26,65.7476
2018-10-27,65.6345
2018-10-28,65.69396666666667
2018-10-29,65.75343333333333
2018-10-30,65.8129
2018-10-31,65.7742
2018-11-01,65.5962
2018-11-02,65.6517
2018-11-03,65.5799
2018-11-04,65.5799
2018-11-05,65.5799
2018-11-06,65.5799
2018-11-07,65.9912
2018-11-08,66.0918
2018-11-09,66.2155
2018-11-10,66.8497
2018-11-11,67.0744
2018-11-12,67.2991
2018-11-13,67.5238
2018-11-14,67.6812
2018-11-15,67.9975
2018-11-16,66.6159
2018-11-17,65.9931
2018-11-18,65.9981
2018-11-19,66.0031
2018-11-20,66.0081
2018-11-21,65.5871
2018-11-22,65.9485
2018-11-23,65.6067
2018-11-24,65.6664
2018-11-25,65.94666666666666
2018-11-26,66.22693333333333
2018-11-27,66.5072
2018-11-28,66.78
2018-11-29,66.9436
2018-11-30,66.6342
2018-12-01,66.5335
2018-12-02,66.45303333333334
2018-12-03,66.37256666666667
2018-12-04,66.2921
2018-12-05,66.4467
2018-12-06,66.8242
2018-12-07,66.7377
2018-12-08,66.9227
2018-12-09,66.69566666666667
2018-12-10,66.46863333333334
2018-12-11,66.2416
2018-12-12,66.5022
2018-12-13,66.4225
2018-12-14,66.255
2018-12-15,66.4337
2018-12-16,66.49606666666666
2018-12-17,66.55843333333334
2018-12-18,66.6208
2018-12-19,66.7454
2018-12-20,67.1121
2018-12-21,67.37100000000001
2018-12-22,68.0085
2018-12-23,68.14143333333334
2018-12-24,68.27436666666667
2018-12-25,68.4073
2018-12-26,68.7448
2018-12-27,68.8865
2018-12-28,68.8762
2018-12-29,69.5218
2018-12-30,69.4706
2018-12-31,69.25322727272727
2019-01-01,69.03585454545455
2019-01-02,68.81848181818182
2019-01-03,68.60110909090909
2019-01-04,68.38373636363636
2019-01-05,68.16636363636364
2019-01-06,67.94899090909091
2019-01-07,67.73161818181818
2019-01-08,67.51424545454545
2019-01-09,67.29687272727273
2019-01-10,67.0795
2019-01-11,66.8605
2019-01-12,66.9167
2019-01-13,67.00846666666666
2019-01-14,67.10023333333334
2019-01-15,67.192
2019-01-16,67.082
2019-01-17,66.7617
2019-01-18,66.4438
2019-01-19,66.3309
2019-01-20,66.34173333333334
2019-01-21,66.35256666666666
2019-01-22,66.3634
2019-01-23,66.5499
2019-01-24,66.3318
2019-01-25,66.0016
2019-01-26,65.917
2019-01-27,65.92133333333334
2019-01-28,65.92566666666667
2019-01-29,65.93
2019-01-30,66.3412
2019-01-31,66.0987
2019-02-01,65.3577
